sintomas,doenca
"evacuações líquidas, cefaleia, nariz entupido, perda de paladar ou olfato, dor torácica",COVID-19
"falta de ar, cefaleia, tosse seca, paralisia, fadiga",COVID-19
"calafrios, evacuações líquidas, sem paladar",COVID-19
"fadiga, arrepios, dor de cabeça, evacuações líquidas",COVID-19
"dor de garganta, falta de ar, arrepios, coriza",COVID-19
"febre alta, dificuldade para respirar, dor torácica, tosse seca",COVID-19
"arrepios, paralisia, febre",COVID-19
"sem paladar, dor de cabeça, falta de ar, fadiga, dor no peito",COVID-19
"dor de cabeça, nariz escorrendo, falta de ar, dor de garganta",COVID-19
"dor de cabeça, fadiga, mialgia, tosse seca, dificuldade para respirar",COVID-19
"irritação na garganta, arrepios, paralisia, dor torácica",COVID-19
"dor de garganta, cansaço, febre, arrepios",COVID-19
"cefaleia, arrepios, perda de fala ou movimento",COVID-19
"falta de ar, perda de fala ou movimento, coriza, dor torácica",COVID-19
"cansaço, sem sentir cheiro, mialgia, nariz escorrendo, dor no peito",COVID-19
"tosse, dor no peito, dores no corpo",COVID-19
"perda de paladar ou olfato, perda de fala ou movimento, dor de cabeça, tosse, febre alta",COVID-19
"fadiga, dor de garganta, arrepios",COVID-19
"paralisia, arrepios, fadiga, irritação na garganta, febre alta",COVID-19
"falta de ar, nariz entupido, tosse",COVID-19
"tosse seca, calafrios, perda de fala ou movimento",COVID-19
"calafrios, mialgia, evacuações líquidas",COVID-19
"dificuldade para respirar, coriza, tosse, irritação na garganta, dor no peito",COVID-19
"falta de ar, irritação na garganta, perda de fala ou movimento, fadiga",COVID-19
"dor de garganta, tosse seca, dor torácica",COVID-19
"evacuações líquidas, cansaço, dores no corpo, tosse seca, sem olfato",COVID-19
"calafrios, diarreia, dor de cabeça, perda de paladar ou olfato, paralisia",COVID-19
"falta de ar, perda de fala ou movimento, cefaleia, diarreia, cansaço",COVID-19
"fadiga, dor de garganta, dores no corpo",COVID-19
"perda de fala ou movimento, tosse, nariz escorrendo",COVID-19
"dores no corpo, fadiga, tosse seca, dor torácica, calafrios",COVID-19
"febre alta, falta de ar, dor de cabeça, arrepios, tosse",COVID-19
"dificuldade para respirar, arrepios, coriza",COVID-19
"diarreia, falta de ar, febre alta, perda de paladar ou olfato, paralisia",COVID-19
